word,count,words,score,sum,average
אבה,6,"אבה, אהב, באה, בהא, האב, הבא","33, 321, 1536, 13, 1180, 3581",6664,1110
אבו,6,"אבו, אוב, באו, בוא, ואב, ובא","1108, 45, 882, 367, 440, 173",3015,502
אבי,5,"אבי, איב, באי, ביא, יבא","1637, 59, 2315, 8, 16",4035,672
אבל,6,"אבל, אלב, באל, בלא, לאב, לבא","19696, 9, 297, 778, 466, 41",21287,3547
אבר,6,"אבר, ארב, באר, ברא, ראב, רבא","62, 15, 891, 144, 30, 171",1313,218
אדמ,5,"אדמ, אמד, דאמ, דמא, מאד","12978, 8, 52, 15, 1770",14823,2470
אדנ,5,"אדנ, אנד, דאנ, דנא, נאד","46, 456, 91, 25, 11",629,104
אהל,5,"אהל, אלה, האל, הלא, לאה","74, 13469, 2640, 1572, 346",18101,3016
אהמ,5,"אהמ, אמה, האמ, מאה, מהא","307, 777, 16028, 1284, 10",18406,3067
אהר,5,"ארה, האר, הרא, ראה, רהא","22, 32, 11, 3356, 7",3428,571
אהת,5,"אתה, האת, התא, תאה, תהא","4682, 10, 942, 9, 202",5845,974
אול,6,"אול, אלו, ואל, ולא, לאו, לוא","23, 17171, 662, 21619, 878, 15",40368,6728
אונ,5,"אונ, אנו, ואנ, ונא, נאו","122, 2741, 667, 13, 122",3665,610
אוש,5,"אוש, אשו, ואש, שאו, שוא","13, 11, 51, 124, 28",227,37
אות,5,"אות, אתו, ואת, ותא, תאו","1211, 225, 8481, 35, 59",10011,1668
אטמ,6,"אטמ, אמט, טאמ, טמא, מאט, מטא","7, 16, 7, 31, 198, 19",278,46
איר,5,"איר, ארי, יאר, ירא, ראי","7, 207, 40, 36, 154",444,74
איש,6,"איש, אשי, יאש, ישא, שאי, שיא","6460, 126, 7, 43, 451, 1054",8141,1356
אלמ,5,"אלמ, אמל, לאמ, מאל, מלא","31, 195, 224, 48, 2419",2917,486
אלפ,5,"אלפ, אפל, לאפ, פאל, פלא","15, 712, 489, 23, 206",1445,240
אמס,5,"אמס, אסמ, מאס, סאמ, סמא","7, 113, 44, 135, 6",305,50
אמר,5,"אמר, ארמ, מאר, מרא, ראמ","2696, 239, 80, 6, 113",3134,522
אמש,6,"אמש, אשמ, מאש, משא, שאמ, שמא","35, 314, 139, 596, 1531, 647",3262,543
אמת,5,"אמת, אתמ, מאת, מתא, תאמ","1148, 3423, 2321, 78, 51",7021,1170
אספ,5,"אספ, אפס, סאפ, ספא, פאס","1158, 755, 16, 21, 70",2020,336
