word,count
דיכ,3
אינ,3
ולש,4
בית,3
אול,6
ינש,4
אבל,6
אלש,4
בכל,4
אחת,1
חלק,3
כער,3
אהמ,5
ילפ,4
במש,2
אאל,2
דוע,5
כלל,2
בדר,4
הנש,3
החל,4
הכמ,3
אחר,3
אהל,5
אדמ,5
בכר,5
בינ,3
וכנ,4
כמנ,3
ההז,2
אלל,3
בלע,2
זמנ,3
בלש,5
מנת,2
בהמ,2
ארש,3
דכר,1
בור,6
חתת,1
אכנ,4
ישש,2
בוש,4
המש,5
בהר,6
דדו,2
וימ,5
הלש,3
גדנ,3
דחי,3
ישת,2
ספר,2
אופ,5
ככל,2
הלמ,6
בכת,4
ומש,5
וכת,3
הזכ,2
יכפ,3
גומ,3
אות,5
ולע,4
אזמ,1
ביר,4
בעת,3
נשת,2
בער,6
בהש,3
הממ,4
בככ,2
אור,3
איצ,2
איש,6
בוט,3
למע,4
אלצ,1
בעק,3
הימ,5
מעפ,1
אהי,4
הכפ,3
כלנ,2
כנש,2
בדפ,1
יכל,4
למש,4
דחש,3
אימ,4
ולמ,2
בחר,5
קרש,4
הקש,3
ילש,4
צקר,1
איכ,2
דימ,5
היר,4
טנק,4
כלמ,5
וחכ,3
בונ,5
דמצ,3
וככ,1
וחק,3
חיל,4
ינפ,3
מצר,5
אהת,5
הונ,6
יממ,2
דלמ,2
הוז,4
המע,2
דלצ,1
פקר,3
אצר,3
טמע,4
יער,4
בהנ,3
אבצ,2
הזש,1
דיל,5
יימ,2
במצ,2
וספ,5
ממש,3
ויש,4
כלש,3
הלע,2
דלפ,4
בקר,5
הומ,4
אבה,6
טסר,3
ביל,5
ככמ,1
וינ,4
גוס,3
אמת,5
לתת,2
ולנ,3
דינ,3
אהר,5
וקר,5
חטש,2
זחר,3
אבנ,2
"""מק",2
דסר,2
צקת,1
ארת,3
טמר,3
דיע,4
מרת,6
הזמ,2
הנר,4
ירש,5
אוז,3
וכל,6
-בו,2
ימנ,3
גמש,3
אומ,4
דהש,3
גופ,3
אונ,5
אמר,5
ערש,6
בדע,2
חיצ,3
דמע,3
בלת,3
חסר,3
וזכ,2
עקר,5
אלפ,6
נקש,3
ננת,1
בוו,3
הזל,1
אלמ,5
בלנ,3
וחצ,3
טנע,2
ונפ,4
בעש,4
לעש,1
אבי,5
כפר,2
רשת,3
טפר,4
הכנ,5
היפ,4
כספ,1
היצ,1
ומע,2
העש,3
ביצ,2
ויכ,3
ילע,3
ירת,2
למס,4
"""דר",1
דהפ,3
גדל,4
ויל,5
ספק,3
כעת,1
דהת,2
איי,1
ינס,5
גמר,2
ולק,5
חצר,5
הפש,3
חפת,3
וחר,2
העת,2
בחל,4
המנ,5
חמש,3
מעצ,3
מסע,1
סעק,1
"""יע",1
גיל,4
חיי,2
יצר,4
חלצ,3
בזע,2
הכל,5
בשת,2
בגי,4
אבג,2
בעצ,4
חלנ,3
בדצ,1
הזע,2
היכ,3
דהמ,4
יפר,6
פרש,6
ששת,1
בהז,5
ינע,4
לעפ,2
ילמ,4
אקר,4
נקר,3
דעת,4
זמר,4
נפש,4
אמש,6
גדי,4
הוק,2
זחק,1
דיפ,3
בדכ,3
ומת,6
ולפ,5
אפש,2
בהו,3
אאנ,1
בות,2
פשת,3
אית,2
בטש,2
בטע,2
הלנ,6
ההנ,3
אמצ,3
הלל,2
חיס,1
דור,6
בכש,3
איל,4
אנש,4
-הו,1
דית,3
גמנ,1
טנס,3
בימ,4
גנס,2
מסת,3
מעק,2
וחמ,5
אבז,2
וחל,5
גרש,4
גוז,2
"""מס",1
ההר,2
לקר,2
הטמ,3
זנק,4
ימת,3
אהש,4
בהל,5
ימש,4
נעק,2
וקק,1
דמר,2
דוק,4
נעפ,1
טעק,1
מנש,1
--ה,1
אספ,5
חלמ,5
חלש,4
וזש,1
למנ,2
הנפ,3
הצר,5
בצק,4
גוש,4
דהצ,2
הלק,6
אבו,6
וחפ,1
וקש,3
קשת,2
משש,3
"""ממ",2
גהנ,4
זער,2
טלש,1
החי,2
זכר,3
אשת,4
הרש,4
חמצ,4
בכס,3
דהי,4
כרש,4
ועש,2
הככ,2
אלנ,2
גלר,3
העצ,3
ברש,4
דוי,5
אדז,1
חקר,4
דחר,2
חשש,2
חלל,1
גזע,2
דעצ,1
דמק,1
דצק,1
פצר,4
כמש,4
נער,3
גדש,2
בטמ,1
טסק,2
דהע,3
הקר,3
כלת,4
"""גק",1
וזמ,4
וזל,3
גפש,2
ימר,4
אבר,6
אכל,4
וטנ,4
בוק,4
המר,6
מעש,3
הנק,5
ביפ,3
בגר,5
נסע,1
כמת,4
גהל,3
בלס,5
'מס,2
וטר,4
הער,4
פקת,2
לספ,5
וער,4
גדמ,3
ויפ,5
לנפ,3
ייר,2
בנק,3
זמע,2
"""עפ",1
חמת,3
בדנ,5
אזי,2
טנפ,3
ווז,1
חלר,1
בדי,3
בדל,4
אמנ,4
כמס,5
וחי,2
בבל,3
ומק,6
גחי,1
אבב,2
יכמ,2
ומר,5
הזר,4
בלר,4
מרש,5
אבש,4
"""חש",2
גער,2
יקר,5
החנ,4
וחנ,5
וצר,6
יינ,2
אאב,1
ונר,6
'גק,1
חכמ,2
ההש,2
אגמ,3
גזמ,2
ילל,2
היי,2
מסר,3
בלצ,3
אהנ,3
המת,4
גהח,2
טיל,3
בנר,3
כמר,3
נקת,3
וול,3
וסס,1
הפק,2
לסע,1
דלק,2
לרש,3
דיר,5
חספ,2
דנע,3
טלנ,2
חפצ,2
אגפ,2
זלמ,1
דחמ,2
דרש,3
גמע,1
יצק,2
"""עש",2
ללש,2
אוו,2
ככש,1
מסק,2
בחט,5
גלס,3
חרש,3
-בכ,1
גזר,2
דיצ,2
ולס,6
נפצ,2
געפ,1
ופפ,1
וכע,1
יעצ,2
-וכ,1
אבכ,4
ימע,3
גהר,3
זימ,2
חנפ,2
ספת,1
עשת,3
גינ,4
בגנ,6
ופר,5
ורת,4
חפר,4
ורש,4
גוח,3
גננ,2
במנ,3
במר,5
וקת,3
כרת,2
דעש,2
אבת,4
בסר,4
גדר,3
טיש,2
ההפ,1
ועפ,3
דחפ,3
גור,4
המק,3
המס,3
בבו,1
אטל,3
המפ,2
חיש,3
ההכ,2
טיס,2
הנס,4
טקש,2
וטמ,2
לקש,3
ביש,5
דהח,3
בוס,4
הזח,1
עפש,3
ינר,4
בדמ,3
חיר,3
הצק,2
אדנ,5
'מע,2
הסר,4
ממע,2
"""את",1
אדר,4
אוי,4
"""בי",1
דונ,5
ימפ,1
גול,5
גהז,2
יקת,2
דלת,3
אבס,3
הנע,3
בכנ,3
כסר,4
דהו,4
החמ,4
החכ,3
בחש,5
לעת,1
דדמ,1
'גו,2
דהנ,5
דקש,2
-המ,2
מקר,4
אדי,4
מנע,4
בזנ,2
ומצ,4
בגע,1
